Date,Close/Last,Volume,Open,High,Low
7/31/2025,581.02,7046843,587.83,588.1614,579.84
7/30/2025,583.21,6974729,584.66,586.15,580.55
7/29/2025,583.92,5053447,586.82,587.08,583.12
7/28/2025,585.44,4193101,586.04,586.5,584.24
7/25/2025,585.58,4210090,583.81,586.04,583.59
7/24/2025,583.26,3840901,583.34,584.75,582.72
7/23/2025,582.86,4257345,580.57,582.96,578.87
7/22/2025,577.95,4767703,578.28,578.84,575.64
7/21/2025,577.95,5913837,577.98,580.53,577.59
7/18/2025,576.92,4262378,578.47,578.5,575.84
7/17/2025,577.18,6495346,574.02,577.65,573.8
7/16/2025,573.74,6141184,573.4,574.26,568.17
7/15/2025,571.86,5398956,576.85,577.16,571.85
7/14/2025,574.35,4747041,572.85,574.679,571.58
7/11/2025,573.22,4428852,572.45,574.3757,571.37
7/10/2025,575.29,4961691,573.78,576.26,572.7
7/9/2025,573.61,7156477,572.46,574.26,570.76
7/8/2025,570.23,6944624,571.15,571.83,569.48
7/7/2025,570.61,6417829,573,573.59,567.98
7/3/2025,575.22,4836962,572.18,575.67,572.13
7/2/2025,570.29,6164018,567.37,570.34,566.81
7/1/2025,567.77,7412742,566.56,568.8,565.8
6/30/2025,568.03,5750571,567.5,569.15,565.375
6/27/2025,566.95,6056524,565.11,568.33,563.21
6/26/2025,564.15,6081444,561.52,564.55,560.96
6/25/2025,559.72,16472310,560.52,561.02,558.34
6/24/2025,559.44,6770036,557.18,560.43,556.37
6/23/2025,553.36,9820188,548.66,553.7,545.75
6/20/2025,547.72,9978477,551.72,552.72,546.62
6/18/2025,549.24,4602329,550.16,552.71,548.39
6/17/2025,549.35,4753344,551.79,553.16,548.635
6/16/2025,554.07,7421327,551.94,555.69,551.87
6/13/2025,548.77,7100626,550.24,553.245,547.41
6/12/2025,554.95,8422943,551.6,555,551.1322
6/11/2025,552.86,20800560,555.41,556.225,550.91
6/10/2025,554.39,5984087,551.78,554.74,550.74
6/9/2025,551.25,4516381,551.3,552.7,550.2
6/6/2025,550.66,4735972,550.3,552.32,548.6999
6/5/2025,545.09,6387510,549.48,550.63,543.3375
6/4/2025,547.65,4543355,548.75,549.65,547.4426
6/3/2025,548,4993615,544.53,548.87,544.09
6/2/2025,544.91,5933526,540.25,544.91,537.8
5/30/2025,541.76,6171491,541.35,543.39,536.16
5/29/2025,542.32,4668939,545.15,545.28,538.74
5/28/2025,540.24,4910507,543.79,544.9,539.61
5/27/2025,543.34,6118091,538.72,543.52,537.18
5/23/2025,532.4,6455875,529.43,534.8099,529.11
5/22/2025,536.02,5816572,535.6,539.225,534.44
5/21/2025,535.77,6339491,540.91,544.6905,534.82
5/20/2025,544.88,7158205,545.22,546.06,541.99
5/19/2025,546.82,7766058,540.63,547.45,540.58
5/16/2025,546.26,7255342,543.47,546.47,541.7
5/15/2025,542.76,7362193,538.26,543.2489,537.84
5/14/2025,540.11,5031301,540.37,541.42,538.24
5/13/2025,539.44,7356804,536.33,541.48,535.78
5/12/2025,535.92,7793576,534.5,535.92,530.39
5/9/2025,518.65,4739506,520.69,521.6306,517.36
5/8/2025,519.34,5088200,519.54,524.23,516.345
5/7/2025,515.9,5467344,514.92,518.18,511.1
5/6/2025,513.58,4694270,512.89,517.825,511.94
5/5/2025,517.99,4793497,517.08,520.85,516.27
5/2/2025,520.71,6285390,519.12,522.41,516.89
5/1/2025,513.35,5784483,515.13,518.44,512.77
4/30/2025,509.74,7873686,503.26,511.5,497.76
4/29/2025,509.49,6525457,504.54,510.5497,504.26
4/28/2025,506.42,4210016,506.81,508.74,500.96
4/25/2025,506.11,6933423,502.44,506.52,499.75
4/24/2025,502.41,6184333,493.26,503,492.2231
4/23/2025,492.07,8047601,496.69,501.18,490.7
4/22/2025,484.29,6236319,478.07,486.48,477.19
4/21/2025,472.37,7762501,479.02,479.49,467.33
4/17/2025,483.9,5638939,484.79,488.16,481.5
4/16/2025,483.23,6374869,488.65,491.765,478.23
4/15/2025,494.09,8200583,496.03,499.27,493.42
4/14/2025,495.48,7701488,500.05,500.26,490.69
4/11/2025,490.55,11541200,480.69,493,478
4/10/2025,482.06,16651300,489.15,490.3,468.33
4/9/2025,499.1,29286590,453.49,502.0612,453.16
4/8/2025,456.74,19002680,479.68,482.49,449.6
4/7/2025,463.56,31285270,449.54,480.76,442.8
4/4/2025,465.52,30966510,481.28,483.3,464.24
4/3/2025,494.16,16226020,501,503.66,493.5
4/2/2025,518.91,6308643,510.14,521.49,509.9298
4/1/2025,515.8,7697017,512.36,517.35,508.88
3/31/2025,513.91,8196668,505.31,515.33,502.64
3/28/2025,510.8,5831793,519.76,520.46,510.16
3/27/2025,521.21,5534928,521.29,524.678,519.23
3/26/2025,524.46,4429626,530.56,531.41,523.1
3/25/2025,530.65,6260199,530.59,531.6,529.11
3/24/2025,529.39,22376270,526.48,530.39,525.88
3/21/2025,520.26,5059011,515.79,520.95,514.655
3/20/2025,520.13,6029737,517.96,524.615,517.32
3/19/2025,521.33,5373949,517.54,524.96,516.4191
3/18/2025,515.91,6010598,519.32,519.52,514.0708
3/17/2025,521.41,6269843,517.45,523.84,517.08
3/14/2025,517.46,7412261,511.28,518.42,510.84
3/13/2025,507.05,21650000,513.51,514.06,505.42
3/12/2025,513.76,8590555,516.89,517.74,509.1
3/11/2025,511.28,11208910,514.33,517.5299,507.53
3/10/2025,515.51,11176890,521.9,523.7,510.83
3/7/2025,529.51,7308280,524.9,530.88,520.13
3/6/2025,526.67,7228926,529.19,533.43,524.22
3/5/2025,536.4,6221745,530.25,537.7901,526.93
3/4/2025,530.45,10477440,533.06,538.2799,526.16
3/3/2025,536.92,7289998,548.2,549.29,533.251
2/28/2025,546.33,7328051,538.42,546.89,535.58
2/27/2025,537.97,5521351,548.83,549.88,537.6
2/26/2025,546.75,4180803,548.01,551.345,544.25
2/25/2025,546.41,5491494,549.18,549.77,542.1684
2/24/2025,549.14,4772255,553.61,554.51,548.5133
2/21/2025,551.75,6148694,561.1,561.2,551.265
2/20/2025,561.3,4446782,562.39,562.4845,558.22
2/19/2025,563.67,3857561,561.02,563.92,560.531
2/18/2025,562.31,3844905,561.8,562.31,559.49
2/14/2025,560.69,3380570,560.9,561.86,560.07
2/13/2025,560.67,3388498,555.87,560.88,554.695
2/12/2025,554.81,3579483,551,555.915,550.39
2/11/2025,556.65,2752923,554.1,557.115,553.99
2/10/2025,556.15,3517552,555.44,556.7755,554.24
2/7/2025,552.2,10161550,558.1,559.2,551.795
2/6/2025,557.62,3606299,557.29,557.65,554.19
2/5/2025,555.62,3424184,552.34,555.73,550.41
2/4/2025,553.35,4181413,549.7,553.83,549.23
2/3/2025,549.7,7824037,544.99,551.9599,542.98
1/31/2025,553.33,6243322,558.62,560.89,552.71
1/30/2025,556.3,4296538,555.37,557.78,552.38
1/29/2025,553.41,4174471,555.17,555.5,550.9701
